2025-11-26 07:42:55 - INFO - REQUEST_URL:https://store.steampowered.com/search/results/?query=&start=1350&count=50&sort_by=CCU_DESC&infinite=1&ignore_preferences=1&cc=us | STATUS:200 | LATENCY:0.6168s | OFFSET:1350
2025-11-26 07:42:57 - INFO - REQUEST_URL:https://store.steampowered.com/search/results/?query=&start=1400&count=50&sort_by=CCU_DESC&infinite=1&ignore_preferences=1&cc=us | STATUS:200 | LATENCY:0.5179s | OFFSET:1400
2025-11-26 07:42:58 - INFO - REQUEST_URL:https://store.steampowered.com/search/results/?query=&start=1450&count=50&sort_by=CCU_DESC&infinite=1&ignore_preferences=1&cc=us | STATUS:200 | LATENCY:0.6121s | OFFSET:1450
2025-11-26 07:43:00 - INFO - REQUEST_URL:https://store.steampowered.com/search/results/?query=&start=1500&count=50&sort_by=CCU_DESC&infinite=1&ignore_preferences=1&cc=us | STATUS:200 | LATENCY:0.6515s | OFFSET:1500
2025-11-26 07:43:01 - INFO - REQUEST_URL:https://store.steampowered.com/search/results/?query=&start=1550&count=50&sort_by=CCU_DESC&infinite=1&ignore_preferences=1&cc=us | STATUS:200 | LATENCY:0.5351s | OFFSET:1550
2025-11-26 07:43:03 - INFO - REQUEST_URL:https://store.steampowered.com/search/results/?query=&start=1600&count=50&sort_by=CCU_DESC&infinite=1&ignore_preferences=1&cc=us | STATUS:200 | LATENCY:0.5432s | OFFSET:1600
2025-11-26 07:43:05 - INFO - REQUEST_URL:https://store.steampowered.com/search/results/?query=&start=1650&count=50&sort_by=CCU_DESC&infinite=1&ignore_preferences=1&cc=us | STATUS:200 | LATENCY:0.4922s | OFFSET:1650
2025-11-26 07:43:06 - INFO - REQUEST_URL:https://store.steampowered.com/search/results/?query=&start=1700&count=50&sort_by=CCU_DESC&infinite=1&ignore_preferences=1&cc=us | STATUS:200 | LATENCY:0.4771s | OFFSET:1700
2025-11-26 07:43:08 - INFO - REQUEST_URL:https://store.steampowered.com/search/results/?query=&start=1750&count=50&sort_by=CCU_DESC&infinite=1&ignore_preferences=1&cc=us | STATUS:200 | LATENCY:0.5103s | OFFSET:1750
2025-11-26 07:43:09 - INFO - REQUEST_URL:https://store.steampowered.com/search/results/?query=&start=1800&count=50&sort_by=CCU_DESC&infinite=1&ignore_preferences=1&cc=us | STATUS:200 | LATENCY:0.4842s | OFFSET:1800
